authorID,name,location,reviewCount,friendCount,photoCount
vL-7Z3rtMYLbY-L7Xd0JAw,Jim R.,"Minneapolis, MN",1030,36,2361
8UzE3TwJW1m4bv8OaF7IAA,Patch L.,"Chicago, IL",57,6,2
syNDRNHCF5bpxuYIH5rKcw,Alison T.,"Petaluma, CA",125,284,142
0If-0C-U3Lv0JyLgZgj58g,Dave W.,"Bloomfield Hills, MI",83,57,5
_V1v1Ez_b1L6oBglnEyKEQ,Kristi O.,"Plainfield, IL",410,391,1455
ofo9LcfXlqf7HFmbaQ-_bw,Sandra M.,"Chicago, IL",247,102,23
su1DE4zYWIAufQQ8_kjaEg,Nazish C.,"Chicago, IL",99,76,29
Ry2eEdDFbB3jCd-puLq0bg,Mark G.,"Iowa City, IA",1053,525,721
t7Z6ya-Do9iamP2FmhwtrQ,Marnie Thao N.,"Chicago, IL",40,271,15
pfLbnuY7SAacCKH-6jd-Dw,Nichole X.,"Chicago, IL",88,328,192
9MAPPnMBbVWnt0ccNHXxtw,Stephanie M.,"Chicago, IL",46,42,10
p3X4_d_u10uiLbwwzQL2Zw,Darian J.,"Chicago, IL",374,1824,1486
Ei2f6sclQvm-uzi3Dks3Vw,Tiffany L.,"Chicago, IL",504,274,310
4S1Fz8Vys8Ia5hD7VccLuQ,Kapil C.,"Chicago, IL",34,204,2
qhS-yrfDJKjnNzraadcNNg,Alex B.,"Milwaukee, WI",60,80,216
f_CHCm-YuokkxPgz2GGw-A,Amanda P.,"San Jose, CA",18,136,5
SIQlqG2fI-jFp-eOTJ5P5g,Frances Valerie C.,"Medford, MA",235,123,108
8JvUGKKcTfAmkTBOmUIMzA,Casey F.,"Chicago, IL",375,12,85
hluQms-QLpaqZASKlDCJHw,Adisak P.,"Chicago, IL",67,219,73
V26rQlwRMLlGmuipfXVk9w,Katrina D.,"Old Bridge, NJ",23,119,66
V2LzSKgfyzY07U1DRGzfmw,Kateryna G.,"Chicago, IL",403,86,505
rZbRVOuUJ_LRzrb4GyUWxA,Saphir S.,"Chicago, IL",35,179,403
sE1bca9fy6Q-2av8nxrZJQ,Raquel R.,"Chicago, IL",21,2,32
Krd1R9KZNk36XzM--kBr5A,Tim O.,"Chicago, IL",241,283,2
Y0L40zOpxJVsSPmi9VOZUg,Joanna T.,"Chicago, IL",109,65,83
ayMuHv_alTih10mbZ9HgZQ,Jim D.,"Chicago, IL",125,20,370
GsiWmKE1XIaIPKDvQiFozQ,Tori M.,"Chicago, IL",70,38,976
1LIf1KxsMpwXSUMrEDQGog,Sara B.,"Indianapolis, IN",156,33,720
iYvA6Tmv08svRLh_jcUxUw,Ulric H.,"Chicago, IL",48,5,65
A-dn-C6ACFnkc_Lp3w2vEg,Sejal P.,"Chicago, IL",173,303,134
xqpIK4PcB7PA21MVEAkqeQ,Tia C.,"Indianapolis, IN",110,252,137
JUiHncYqF9qrJC4MiNfWsA,Becca H.,"Woodridge, IL",78,58,235
JCZXjV7tq9140qNSCdM_Vg,Carol L.,"Chicago, IL",114,602,282
UvpSUxJk8Ai9XHbDgi5YqQ,Tazeen L.,"Chicago, IL",164,121,380
1jIXdQb0fVFNKxfnrdG05A,Traveling P.,"Hilton Head Island, SC",9,0,17
pJoqqb6FXWd6-3WQIL3Xew,Katharine W.,"Roscoe, IL",28,2,33
2XTxprGOFYWT7E5U4QUqCw,Rachel S.,"Manhattan, NY",36,90,16
-ke0RTX08FW0VBclCEtbSg,Merissa Y.,"Chicago, IL",18,165,16
TExj5cyhpYqe-zPKWGQaNA,Eddie S.,"Fort Myers, FL",265,71,82
LzMRfiyI01GgW1552tZ0vQ,Kelly N.,"NORTH HOLLYWOOD, CA",179,16,166
fRFspes2RDHzJrxuQT2drA,Johnny M.,"Chicago, IL",21,3,0
ESzKIDiufkUrppRA-dPvug,Tiffany C.,"Indianapolis, IN",29,58,40
wLabJl1B9kRl4ExUYF-VgQ,Sanika R.,"Chicago, IL",3,2,0
ncsMzwu94d49QNAe6u_e_A,Nicole S.,"Schaumburg, IL",7,0,7
13OKPuRbi9ihsxh3D3FOhA,Toni F.,"Lemont, IL",445,184,256
MeIIBJC3lefCeQolzfCTkQ,Janine J.,"Chicago, IL",131,271,129
vximv2HTjbT9m90TZdWy8A,D S.,"Bolingbrook, IL",34,0,0
EAmb7dFd-gQzznbtsmyEAw,Madeline U.,"Phoenix, AZ",30,593,7
XKLUpW_dOvUVtnPdyDf38Q,Lihan C.,"Lisle, IL",43,511,50
qopA1DLwDjDSIxsfCo9Zyg,Kate D.,"Chicago, IL",178,77,70
-rw9_TTO1XN4qD6-ex8yCw,Emily H.,"Chicago, IL",625,214,614
xuS0nEJrk_LsYSDAe-nhPw,Allison T.,"Chicago, IL",106,9,333
cRZ3WjNZUpjKUh8CYBYn1g,Sally L.,"Chicago, IL",355,444,898
kBEzLgLmbZ0SOPLc02Z_fg,Brie G.,"Chicago, IL",332,155,718
3xibmgNSEMMtiTP2PlevhQ,Amanda M.,"Chicago, IL",422,117,347
lZx_XOuL5wACxaNtby4JEA,Francis R.,"Chicago, IL",746,783,1095
u7ypkhUUaVegDPCWpwG_QA,Meghan B.,"Louisville, KY",53,5,15
IFPWVFDxpgnojGPbyqmVKA,Merve C.,"Columbus, OH",129,55,352
xdHM5YCDlHVFTPOPWESwMw,Karen Q.,"Chicago, IL",255,57,426
_Snvv_nGfpctBG4OOWwGLg,Aria S.,"San Francisco, CA",567,712,51
ORUSfeLmO-l8M9kjmyqjng,Anup R.,"Chicago, IL",190,205,298
